5	5	0	0
5	10	0	0
5	15	0.05	25
5	20	0.182	91
5	25	0.976	488
5	30	0.33	165
5	35	0.06	30
5	40	0.682	341
5	45	0.444	222
10	5	0	0
10	10	0	0
10	15	0	0
10	20	0.084	42
10	25	0.138	69
10	30	0.168	84
10	35	0.224	112
10	40	0.372	186
10	45	0.2	100
15	5	0	0
15	10	0	0
15	15	0	0
15	20	0	0
15	25	0.03	15
15	30	0	0
15	35	0.058	29
15	40	0.122	61
15	45	0.812	406
20	5	0	0
20	10	0	0
20	15	0	0
20	20	0	0
20	25	0	0
20	30	0.004	2
20	35	0.032	16
20	40	0	0
20	45	0.02	10
25	5	0	0
25	10	0	0
25	15	0	0
25	20	0	0
25	25	0	0
25	30	0	0
25	35	0.066	33
25	40	0.01	5
25	45	0.018	9
30	5	0	0
30	10	0	0
30	15	0	0
30	20	0	0
30	25	0	0
30	30	0	0
30	35	0.002	1
30	40	0.008	4
30	45	0.162	81
35	5	0	0
35	10	0	0
35	15	0	0
35	20	0	0
35	25	0	0
35	30	0	0
35	35	0	0
35	40	0	0
35	45	0.224	112
40	5	0	0
40	10	0	0
40	15	0	0
40	20	0.008	4
40	25	0.004	2
40	30	0	0
40	35	0.004	2
40	40	0	0
40	45	0.018	9
45	5	0.002	1
45	10	0	0
45	15	0	0
45	20	0.004	2
45	25	0.004	2
45	30	0.052	26
45	35	0.002	1
45	40	0	0
45	45	0.006	3
