station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
SPRA,20160801T000000,66.9,66.9,95,5.1,8.0,64,8,994.31,0.0,1.93,1.93,67.8,67.3,66.6
SPRA,20160801T000500,66.9,66.9,95,5.2,8.0,56,5,994.45,0.0,1.93,1.93,67.8,67.3,66.6
SPRA,20160801T001000,66.9,66.9,95,4.8,7.8,51,3,994.51,0.0,1.93,1.93,67.8,67.4,66.6
SPRA,20160801T001500,66.9,66.9,95,4.4,6.6,49,1,994.59,0.0,1.93,1.93,67.8,67.3,66.6
SPRA,20160801T002000,66.9,66.9,96,4.7,7.3,41,1,994.56,0.004,1.934,1.934,67.8,67.3,66.6
SPRA,20160801T002500,66.9,66.9,96,7.1,9.6,58,0,994.45,0.001,1.935,1.935,67.8,67.3,66.6
SPRA,20160801T003000,66.8,66.9,96,7.7,12.6,67,0,994.31,0.0,1.935,1.935,67.8,67.3,66.6
SPRA,20160801T003500,66.9,66.9,96,7.6,12.1,70,0,994.36,0.0,1.935,1.935,67.8,67.4,66.6
SPRA,20160801T004000,66.8,66.8,96,5.0,8.2,82,0,994.49,0.0,1.935,1.935,67.8,67.4,66.6
SPRA,20160801T004500,66.8,66.8,96,5.1,8.9,83,0,994.56,0.0,1.935,1.935,67.8,67.4,66.6
SPRA,20160801T005000,66.8,66.9,96,5.2,7.8,79,0,994.6,0.004,1.939,1.939,67.8,67.3,66.5
SPRA,20160801T005500,66.7,66.8,96,5.4,10.0,78,0,994.57,0.011,1.95,1.95,67.8,67.4,66.6
SPRA,20160801T010000,66.6,66.7,96,5.6,8.9,70,0,994.64,0.007,1.958,1.958,67.8,67.4,66.5
SPRA,20160801T010500,66.6,66.7,96,5.1,7.7,62,0,994.72,0.018,1.976,1.976,67.8,67.4,66.5
SPRA,20160801T011000,66.6,66.6,96,5.1,7.2,57,0,994.8,0.019,1.995,1.995,67.8,67.4,66.5
SPRA,20160801T011500,66.6,66.7,97,3.8,6.4,65,0,994.91,0.002,1.997,1.997,67.8,67.3,66.4
SPRA,20160801T012000,66.6,66.7,97,4.7,8.3,63,0,994.92,0.001,1.998,1.998,67.8,67.4,66.4
SPRA,20160801T012500,66.6,66.6,97,4.7,6.4,74,0,994.92,0.002,2.0,2.0,67.8,67.3,66.4
SPRA,20160801T013000,66.5,66.5,97,4.8,6.8,78,0,994.84,0.002,2.002,2.002,67.8,67.4,66.4
SPRA,20160801T013500,66.5,66.5,97,4.3,8.4,91,0,994.9,0.001,2.003,2.003,67.8,67.4,66.5
SPRA,20160801T014000,66.5,66.5,97,4.3,7.0,88,0,994.97,0.002,2.005,2.005,67.8,67.4,66.4
SPRA,20160801T014500,66.5,66.5,97,3.8,8.7,95,0,994.93,0.003,2.008,2.008,67.8,67.4,66.4
SPRA,20160801T015000,66.5,66.6,97,5.3,7.4,81,0,994.89,0.002,2.01,2.01,67.8,67.4,66.4
SPRA,20160801T015500,66.4,66.5,97,5.5,7.9,83,0,994.87,0.006,2.015,2.015,67.8,67.4,66.4
SPRA,20160801T020000,66.4,66.5,97,5.2,8.3,85,0,994.88,0.006,2.021,2.021,67.8,67.3,66.4
SPRA,20160801T020500,66.4,66.5,97,7.3,9.3,73,0,994.75,0.001,2.022,2.022,67.8,67.4,66.4
SPRA,20160801T021000,66.4,66.4,97,6.2,9.4,76,0,994.73,0.002,2.024,2.024,67.8,67.4,66.4
SPRA,20160801T021500,66.4,66.4,97,4.7,9.8,87,0,994.81,0.001,2.024,2.024,67.8,67.4,66.4
SPRA,20160801T022000,66.4,66.4,97,5.0,8.0,83,0,994.75,0.0,2.024,2.024,67.8,67.4,66.4
SPRA,20160801T022500,66.4,66.4,97,4.3,6.6,85,0,994.74,0.0,2.024,2.024,67.7,67.4,66.4
SPRA,20160801T023000,66.4,66.4,97,4.2,6.9,85,0,994.79,0.0,2.024,2.024,67.8,67.4,66.4
SPRA,20160801T023500,66.4,66.4,97,4.8,8.1,84,0,994.79,0.0,2.024,2.024,67.8,67.4,66.4
SPRA,20160801T024000,66.3,66.4,97,4.6,6.0,80,0,994.79,0.0,2.024,2.024,67.7,67.4,66.4
SPRA,20160801T024500,66.3,66.3,97,4.8,6.9,86,0,994.79,0.0,2.024,2.024,67.7,67.4,66.4
SPRA,20160801T025000,66.3,66.3,97,5.4,8.2,94,0,994.76,0.0,2.024,2.024,67.7,67.4,66.4
SPRA,20160801T025500,66.3,66.3,97,4.3,6.8,86,0,994.69,0.0,2.024,2.024,67.6,67.4,66.4
SPRA,20160801T030000,66.3,66.3,97,5.7,8.6,79,0,994.71,0.0,2.024,2.024,67.6,67.4,66.4
SPRA,20160801T030500,66.3,66.3,97,4.5,7.2,73,0,994.72,0.0,2.024,2.024,67.5,67.4,66.4
SPRA,20160801T031000,66.3,66.3,97,4.9,8.2,69,0,994.76,0.0,2.024,2.024,67.5,67.4,66.4
SPRA,20160801T031500,66.3,66.4,97,6.2,9.2,66,0,994.76,0.0,2.024,2.024,67.5,67.4,66.4
SPRA,20160801T032000,66.3,66.3,97,6.2,9.1,71,0,994.72,0.0,2.024,2.024,67.5,67.4,66.4
SPRA,20160801T032500,66.3,66.3,97,5.5,8.5,71,0,994.68,0.0,2.024,2.024,67.5,67.4,66.4
SPRA,20160801T033000,66.2,66.3,97,5.1,8.8,72,0,994.7,0.0,2.024,2.024,67.5,67.4,66.4
SPRA,20160801T033500,66.3,66.3,97,6.6,10.9,64,0,994.74,0.0,2.024,2.024,67.5,67.4,66.4
SPRA,20160801T034000,66.2,66.3,97,6.3,8.7,72,0,994.73,0.002,2.027,2.027,67.5,67.4,66.4
SPRA,20160801T034500,66.2,66.2,97,6.3,9.1,69,0,994.7,0.003,2.03,2.03,67.5,67.4,66.4
SPRA,20160801T035000,66.2,66.2,97,6.1,9.9,68,0,994.8,0.001,2.03,2.03,67.5,67.4,66.4
