station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
CAMD,20160701T000000,66.2,68.3,76,1.1,1.6,348,41,997.62,,,,76.5,73.0,68.1
CAMD,20160701T000500,65.5,67.8,78,0.4,1.2,2,39,997.6,,,,76.3,73.0,68.2
CAMD,20160701T001000,65.5,67.2,78,0.0,0.0,0,37,997.6,,,,76.4,72.9,68.2
CAMD,20160701T001500,65.0,66.6,80,0.0,0.0,0,35,997.58,,,,76.2,73.0,68.3
CAMD,20160701T002000,64.8,66.5,80,0.0,0.7,42,33,997.55,,,,75.9,73.0,68.3
CAMD,20160701T002500,65.0,66.5,77,0.6,1.3,91,29,997.57,,,,76.0,73.0,68.2
CAMD,20160701T003000,64.6,66.0,79,0.1,0.6,96,24,997.57,,,,75.8,73.0,68.4
CAMD,20160701T003500,64.2,65.7,80,0.0,0.0,0,17,997.62,,,,75.8,73.0,68.3
CAMD,20160701T004000,64.0,65.8,82,0.0,0.0,0,12,997.68,,,,75.6,73.0,68.2
CAMD,20160701T004500,63.7,65.6,82,0.0,0.0,0,8,997.66,,,,75.7,73.1,68.4
CAMD,20160701T005000,63.5,65.1,81,0.0,0.0,0,7,997.7,,,,75.4,73.0,68.2
CAMD,20160701T005500,62.8,64.7,84,0.6,1.5,41,6,997.77,,,,75.4,73.1,68.2
CAMD,20160701T010000,63.4,65.2,83,1.6,2.2,314,4,997.84,,,,75.3,73.1,68.3
CAMD,20160701T010500,63.1,64.7,82,0.4,1.2,318,1,997.9,,,,75.2,73.1,68.3
CAMD,20160701T011000,62.1,63.8,84,0.0,0.0,0,0,997.91,,,,75.0,73.0,68.2
CAMD,20160701T011500,61.5,63.2,87,0.5,0.9,329,0,997.94,,,,74.9,73.1,68.2
CAMD,20160701T012000,61.4,63.1,87,0.1,0.7,329,0,997.93,,,,74.8,73.0,68.3
CAMD,20160701T012500,61.0,62.7,88,0.0,0.4,329,0,997.96,,,,74.8,73.0,68.2
